run_id,roc_auc,average_precision,accuracy,precision,recall,f1,cm,data,n_est,max_depth
2e296983-669c-4021-8a44-fd09b47da08f,0.828111928941134,0.7466449339904188,0.7446417910447761,0.7792823290453622,0.5622666527094455,0.6532217200072968,"[[33777  4564]
 [12545 16114]]",train,200,1.0
2e296983-669c-4021-8a44-fd09b47da08f,0.8301644750077164,0.7472724903128243,0.7434242424242424,0.7763750244666275,0.5620262132483174,0.6520363292647845,"[[16600  2285]
 [ 6182  7933]]",test,200,1.0
cc584b6e-2be4-4253-a66b-d978cea04181,0.8454758008206112,0.7975441271645314,0.779223880597015,0.7508774469008938,0.7241006315642555,0.7372459855051868,"[[31456  6885]
 [ 7907 20752]]",train,200,5.0
cc584b6e-2be4-4253-a66b-d978cea04181,0.8463794143027447,0.7964224371563748,0.7761818181818182,0.746899537682542,0.7210768685795254,0.7337610842765483,"[[15436  3449]
 [ 3937 10178]]",test,200,5.0
3b924c2e-243c-4c53-8b71-068a54c0f188,0.8544333883281372,0.8114850880509056,0.7853432835820896,0.764575071346503,0.7198087860706933,0.7415168943206326,"[[31989  6352]
 [ 8030 20629]]",train,200,8.0
3b924c2e-243c-4c53-8b71-068a54c0f188,0.8491865215858501,0.8012285640654149,0.7776666666666666,0.7550805359024537,0.7107332624867163,0.7322360497792051,"[[15631  3254]
 [ 4083 10032]]",test,200,8.0
e910b18b-9d2c-4062-849a-4fd8eb8250e4,0.8653386008201077,0.8280880655342918,0.7951940298507463,0.7728418514594674,0.7381625318399107,0.755104226156482,"[[32123  6218]
 [ 7504 21155]]",train,200,10.0
e910b18b-9d2c-4062-849a-4fd8eb8250e4,0.8494241438030641,0.8025475224332665,0.7789393939393939,0.7535315985130111,0.7180304640453419,0.7353528024668964,"[[15570  3315]
 [ 3980 10135]]",test,200,10.0
5ae88a3b-a67c-4f06-87d2-314266549ba1,0.882951953795224,0.8535151223960675,0.811,0.7877185409022232,0.7640531770124568,0.7757054041128646,"[[32440  5901]
 [ 6762 21897]]",train,200,12.0
5ae88a3b-a67c-4f06-87d2-314266549ba1,0.848473201005658,0.8015089090062391,0.7776666666666666,0.7480603132777046,0.7240524264966348,0.7358606040969147,"[[15443  3442]
 [ 3895 10220]]",test,200,12.0
ac486aa1-e1f9-4422-80b5-f4fc4a481053,0.92047841142907,0.904671664910585,0.8462388059701492,0.8283782333369111,0.8079137443734953,0.818018018018018,"[[33544  4797]
 [ 5505 23154]]",train,200,15.0
ac486aa1-e1f9-4422-80b5-f4fc4a481053,0.8442219838159466,0.7962509011648211,0.7733333333333333,0.7412902756564114,0.7220687212185618,0.7315532586850416,"[[15328  3557]
 [ 3923 10192]]",test,200,15.0
4bd87f18-2f16-4531-b80c-1d496bbf97ae,0.976833043769957,0.9729839182550521,0.9211641791044776,0.9230824917653021,0.8898426323319027,0.90615783676225,"[[36216  2125]
 [ 3157 25502]]",train,200,20.0
4bd87f18-2f16-4531-b80c-1d496bbf97ae,0.8306240232681524,0.7775063285683255,0.763,0.7299430074528716,0.7077577045696068,0.7186791842020073,"[[15189  3696]
 [ 4125  9990]]",test,200,20.0
e1e15d81-e8ee-4324-b223-f5f315541ba8,0.9998229874458024,0.999782557723913,0.9951492537313433,0.9976115208991921,0.9910324854321505,0.9943111204467083,"[[38273    68]
 [  257 28402]]",train,200,
e1e15d81-e8ee-4324-b223-f5f315541ba8,0.8071851393546581,0.7477038696282681,0.7368484848484849,0.6934530170264301,0.6896209705986539,0.6915316851378233,"[[14582  4303]
 [ 4381  9734]]",test,200,
